ésãÊñº,ïŸìñ,Ç∑Çµ,Ç®Ç…Ç¨ÇË•ÇªÇÃëº,í≤óùÉpÉì,Ç§Ç»Ç¨ÇÃÇ©ÇŒèƒÇ´,ÉTÉâÉ_,ÉRÉçÉbÉP,ÉJÉcÉåÉc,ìVÇ’ÇÁÅEÉtÉâÉC,ÇµÇ„Ç§Ç‹Ç¢,Ç¨ÇÂÇ§Ç¥,Ç‚Ç´Ç∆ÇË,ÉnÉìÉoÅ[ÉO,ó‚ìÄí≤óùêHïi,ÇªÇ§Ç¥Ç¢çﬁóøÉZÉbÉg
éDñyés,10472,11862,4991,4715,1234,3599,1135,1345,10692,703,1672,2612,886,6327,2076
ê¬êXés,15680,11688,3385,5065,1904,4282,1834,1939,11089,657,1494,4006,1636,6456,767
ê∑â™és,13947,12412,4806,4566,1423,4686,1646,2741,11902,805,1798,2175,1438,7838,5227
êÂë‰és,13442,12955,5741,5917,2023,6335,2159,2646,11896,1201,2422,2521,1488,4494,5232
èHìcés,12519,12073,3587,5359,1137,4550,1227,1735,9086,706,1746,2094,1080,5877,1860
éRå`és,14595,12757,4682,5060,1353,6235,1725,2300,14317,862,1771,3255,1699,9604,4650
ïüìáés,17712,14464,5459,6307,1149,5932,2512,2404,12341,664,1773,2412,1630,8057,7694
êÖåÀés,18103,11805,5675,6436,1140,5944,1867,2410,10540,1013,1887,2261,1623,8287,4121
âFìsã{és,16758,12432,5271,7408,2401,7468,2132,2639,13814,1044,4358,2820,1603,7596,880
ëOã¥és,22250,14808,4812,5844,1598,5851,1710,2369,12105,1304,2192,2463,1594,5805,451
Ç≥Ç¢ÇΩÇ‹és,18802,13803,5224,7117,2360,7377,2227,2944,11477,1470,2447,3144,1597,8808,4034
êÁótés,16471,11607,6111,6527,1818,5709,1715,2280,11578,1221,2024,3321,1425,8398,976
ìåãûìsãÊïî,19406,14985,6286,8588,2721,7812,2251,2633,11935,1713,2560,3048,1570,7005,2017
â°ïlés,18310,14374,5110,7801,2208,6927,2284,1987,10785,2440,1819,3447,1233,9937,1719
êVäÉés,10994,12514,4537,5760,1087,5589,1906,2332,14196,678,1685,2754,1112,11030,7562
ïxéRés,9853,15492,4243,5526,1371,5490,2222,2592,14126,799,1799,2200,868,10266,6987
ã‡ëÚés,12663,15361,4921,8497,3186,5157,2200,2574,12305,916,1839,2986,1063,9177,8590
ïüà‰és,11359,14726,5063,5348,1476,6201,3210,4890,17743,961,2394,2905,1557,8305,5745
çbï{és,17704,14169,5499,5705,1613,6424,2154,2923,12943,1096,2088,3278,1828,6718,1337
í∑ñÏés,14085,14097,5227,8910,2044,4928,1490,2154,11827,1133,2169,2359,962,8112,555
äÚïåés,11758,12213,4374,5291,2308,3951,1848,1786,10698,842,2019,1531,1201,8637,6438
ê√â™és,23931,15465,6583,5914,3400,8546,2082,2235,14100,1613,2188,3475,1634,7545,2039
ñºå√âÆés,14885,15407,4759,5824,2194,5143,1798,1936,10153,1077,1905,2026,1304,6076,1967
í√és,11805,13756,4372,3949,2278,3593,2330,1564,10086,886,2018,1079,1245,5849,4257
ëÂí√és,11272,13416,3961,4320,3610,4686,3062,1832,10156,804,2348,1396,1058,6882,2001
ãûìsés,11039,14196,3681,4633,3593,4575,2560,1638,9383,753,2787,1355,1273,5713,1432
ëÂç„és,15752,16183,4619,4877,3254,5228,2140,1528,11615,1057,2205,1891,1277,7143,1100
ê_åÀés,15721,14539,5166,5358,1858,5132,2246,1653,9668,930,2461,1806,1146,5744,5286
ìﬁó«és,10495,13999,3735,5505,2742,3595,2271,1477,9371,984,1925,1685,1033,9668,5895
òaâÃéRés,12635,12580,3544,3656,2596,4360,2010,1707,8966,672,1945,2355,1333,5476,2826
